Loschbour.AG	Luxembourg_Loschbour_Mesolithic	Loschbour (Echternach)	Luxembourg	I2a1a2	U5b1a	MathiesonReichNature2018	https://doi.org/10.1038/nature25778
Kou01.SG	Greece_EpanoKoufonisi_EBA_Cycladic	Potamia (Cyclades, Epano Koufonisi)	Greece			ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039
Kou03.SG	Greece_EpanoKoufonisi_EBA_Cycladic	Potamia (Cyclades, Epano Koufonisi)	Greece			ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039
Log02.SG	Greece_ElatiLogkassite_MBA	Elati-Logkas site (Kozani, Elati)	Greece			ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039
Log04.SG	Greece_ElatiLogkassite_MBA	Elati-Logkas site (Kozani, Elati)	Greece			ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039
Mik15.SG	Greece_Manika_EBA	Manika (Euboea Island, north of Chalkis)	Greece			ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039
Pta08.SG	Greece_Crete_KephalaPetrasSiteias	Kephala Petras Siteias (Crete, Petras)	Greece			ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039
cay004.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey		K1a	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay008.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey		T2g	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay011.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey	G		AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay012.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey	C		AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay013.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey		K1a12a	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay014.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey			AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay015.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey			AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay016.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey			AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay1820.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey		K1a4	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay022.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey			AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay027.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey			AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
cay033.SG	Turkey_PPN	Boncuklu (Konya, Karatay)	Turkey			AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609
AV1.AG	Hungary_Avar-5	Szólád (Somogy County, Kaposvár)	Hungary		X2m'n	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
AV2.AG	Hungary_Avar-5	Szólád (Somogy County, Kaposvár)	Hungary		X2m'n	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL102.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Collegno (Piedmont, Turin)	Italy		H1i2	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL110.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-4	Collegno (Piedmont, Turin)	Italy	K		AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL121.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Collegno (Piedmont, Turin)	Italy	S1a1b1d	T2b	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL145.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Collegno (Piedmont, Turin)	Italy	R1b1a1b1a1a	T2b	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL146.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Collegno (Piedmont, Turin)	Italy	R1b1a1b1a1a	T2b3	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL151.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Collegno (Piedmont, Turin)	Italy		T2b	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL23.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Collegno (Piedmont, Turin)	Italy	T1a2b1	H	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL25.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Collegno (Piedmont, Turin)	Italy		H	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL30.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Collegno (Piedmont, Turin)	Italy	R1b1a1b1a1a	I1b	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL31.AG	Italy_Piedmont_North_EarlyMedieval_Lombards	Collegno (Piedmont, Turin)	Italy	G2a	H18	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL36.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Collegno (Piedmont, Turin)	Italy		X2b	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL38.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Collegno (Piedmont, Turin)	Italy	E1b1b1a1b1	X2	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL47.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Collegno (Piedmont, Turin)	Italy		H11a	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL49.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Collegno (Piedmont, Turin)	Italy	R1b1a1b		AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
CL53.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Collegno (Piedmont, Turin)	Italy	R1b1a1b	H11a	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4
